name,name:en
金陵东路,East Jinling Road
十六铺,Shiliupu
耀华路,Yaohua Road
长寿路,Changshou Road
场中路,Changzhong Road
肇嘉浜路,Zhaojiabang Road
世博大道,Shibo Avenue
世博会博物馆,World Expo Museum
鲁班路,Luban Road
紫薇路高斯路,Ziwei Road Gaosi Road
老西门 Laoximen,Laoximen
东方滨江大酒店,Oriental Pearl Riverside Hotel
中国银行,Bank of China
G2 G42 苏州方向,G2 G42 To Suzhou
东昌路,Dongchang Road
星巴克,Starbucks
滴水洞,Di Shui Dong
星巴克,Starbucks Coffee
萄醉 Just Grapes,Just Grapes
联华,Lianhua
国美电器,Gome
周家嘴路爱国路,Zhoujiazui Road Aiguo Road
天山西路,Tianshan Road (W)
华江路,Huajiang Road
隆德丰国际大酒店 LDF All Suites Hotel,LDF All Suites Hotel
赛百味 Subway,Subway
上海久光百,Hisamitsu
星巴克咖啡,Starbucks Coffee
Jiangsu Road - Exit 3,Jiangsu Road - Exit 3
中原游泳馆,Zhongyuan Swimming Pool
国和路,Guohe Road
五角场/国定路/四平路/黄兴路,Wujiaochang/Guoding Road/Siping Road/Huangxing Road
万达国际电影城,Wanda International Theatre City
华美达上海五角场大酒店,Ramada Shanghai Wujiaochang
嘉善路,Jiashan Road
佳木斯路,Jiamusi Road
中原路民星路,Zhongyuan Road Minxing Road
新天地,Xintiandi
博兴路,Boxing Road
高东海上救助机场,Gaodong Airport
杨高南路,South Yanggao Road
翔殷路隧道/民星路,Xiangyin Road Tunnel/Minxing Road
民星路,Minxing Road
张华浜,Zhanghuabang
徐泾东,East Xujing
虹桥2号航站楼,Hongqiao Airport Terminal 2
金科路,Jinke Road
广兰路,Guanglan Road
唐镇,Tang Town
创新中路,Middle Chuangxin Road
川沙,Chuansha
凌空路,Lingkong Road
华夏东路,East Huaxia Road
打浦桥,Dapuqiao
小南门,Xiaonanmen
商城路,Shangcheng Road
九六广场 96 Square Shopping Center,96 Square Shopping Center
G50 湖州方向,G50 To Huzhou
新北门,Xinbeimen
老北门,Laobeimen
小北门 Xiaobeimen,Xiaobeimen
尚文路,Shangwen Road
新世界丽笙大酒店 Radisson New World,Radisson New World
创兴金融中心,Chuangxin Financial Center
万豪酒店,JW Marriott Hotel at Tomorrow Square
月亮船,Moonboat
市光新村,Shiguang Xincun
殷行路包头路,Yinhang Road Baotou Road
美兰湖,Meilan Lake
蔡伦路金科路,Cailun Road Jinke Road
金海湖 (在建),Jinhai Lake (Future)
望园路 (在建),Wangyuan Road (Future)
肖塘 (在建),Xiaotang (Future)
奉浦 (在建),Fengpu (Future)
环城东路 (在建),East Huancheng Road (Future)
南桥新城 (在建),Nanqiao Xincheng (Future)
西渡 (在建),Xidu (Future)
松江体育中心,Songjiang Sports Center
醉白池,Zuibaichi Park
芦恒路,Luheng Road
杨思,Yangsi
高青路,Gaoqing Road
民生路,Minsheng Road
北洋泾路,Beiyangjing Road
德平路,Deping Road
云山路,Yunshan Road
金桥路,Jinqiao Road
江苏路,Jiangsu Road
隆德路,Longde Road
枫桥路,Fengqiao Road
真如,Zhenru
李子园,Liziyuan
祁连山路,Qilianshan Road
武威路,Wuwei Road
建设银行,Construction Bank
国和新村,Guohe Xincun
桃浦新村,Taopu Xincun
殷行路闸殷路,Yinhang Road Zhayin Road
国伟路,Guowei Road
闸北电厂,Zhabeidianchang
新华,Xinhua
杨浦区,Yangpu
四平,Siping
第五街咖啡馆,5th Avenue Cafe
同济大学,Tongji University Jiading Campus
三岔港,Sanchagang
上海第一医药 Shanghai No. 1 Pharmacy,Shanghai No. 1 Pharmacy
国际饭店 Park Hotel,Park Hotel
星巴克 Starbucks,Starbuck's Coffee
民星歌舞厅,Minxing Dance and Music Hall
工商银行,ICBC
招商银行,China Merchants Bank
浦东发展银行,Pudong Development Bank
曲阜西路,West Qufu Road
恒生银行,Hang Seng Bank
家乐福,Carrefour
大食代,Megabite Foodcourt
南新雅华美达大酒店,Ramada Plaza Shanghai
S5 上海市区方向,S5 To City Center
G1501 浦东机场 安亭,G1501 To Pudong Airport To Anting
上海铁路博物馆,Shanghai Railways Museum
华佗路达尔文路,Huatuo Road Daerwen Road
蔡伦路哈雷路,Cailun Road Halei Road
哥白尼路李冰路,Gebaini Road Libing Road
高斯路张江路,Gaosi Road Zhangjiang Road
张江中学,Zhangjiang Middle School
广兰路祖冲之路,Guanglan Road Zuchongzhi Road
广兰路丹桂路,Guanglan Road Dangui Road
丹桂路青桐路,Dangui Road Qingtong Road
